Time,si_in,mg_in
731374.250694444,NaN,NaN
731374.333333333,NaN,NaN
731374.334027778,NaN,NaN
731374.416666667,NaN,NaN
731374.417361111,NaN,NaN
731374.5,3.34,0.67
731374.500694444,NaN,NaN
731374.583333333,NaN,NaN
731374.584027778,NaN,NaN
731374.666666667,NaN,NaN
731374.667361111,NaN,NaN
731374.75,NaN,NaN
731374.750694444,NaN,NaN
731374.833333333,NaN,NaN
731374.834027778,NaN,NaN
731374.916666667,NaN,NaN
731374.917361111,NaN,NaN
731375,2.64,0.71
731375.000694444,NaN,NaN
731375.083333333,NaN,NaN
731375.084027778,NaN,NaN
731375.166666667,NaN,NaN
731375.167361111,NaN,NaN
731375.25,NaN,NaN
731375.250694444,NaN,NaN
731375.333333333,NaN,NaN
731375.334027778,NaN,NaN
731375.416666667,NaN,NaN
731375.417361111,NaN,NaN
731375.418055556,NaN,NaN
731375.5,4.68,0.65
731375.500694444,NaN,NaN
731375.583333333,NaN,NaN
731375.584027778,NaN,NaN
731375.666666667,NaN,NaN
731375.667361111,NaN,NaN
731375.75,NaN,NaN
731375.750694444,NaN,NaN
731375.833333333,NaN,NaN
731375.834027778,NaN,NaN
731375.916666667,NaN,NaN
731375.917361111,NaN,NaN
731376,2.71,1.1
731376.000694444,NaN,NaN
731376.083333333,NaN,NaN
731376.084027778,NaN,NaN
731376.166666667,NaN,NaN
731376.167361111,NaN,NaN
731376.25,NaN,NaN
731376.250694444,NaN,NaN
731376.333333333,NaN,NaN
731376.334027778,NaN,NaN
731376.416666667,NaN,NaN
731376.417361111,NaN,NaN
731376.5,2.32,0.63
731376.500694444,NaN,NaN
731376.583333333,NaN,NaN
731376.584027778,NaN,NaN
731376.666666667,NaN,NaN
731376.667361111,NaN,NaN
731376.75,NaN,NaN
731376.750694444,NaN,NaN
731376.833333333,NaN,NaN
731376.834027778,NaN,NaN
731376.916666667,NaN,NaN
731376.917361111,NaN,NaN
731377,1.87,0.6
731377.000694444,NaN,NaN
731377.083333333,NaN,NaN
731377.084027778,NaN,NaN
731377.166666667,NaN,NaN
731377.167361111,NaN,NaN
731377.25,NaN,NaN
731377.250694444,NaN,NaN
731377.333333333,NaN,NaN
731377.334027778,NaN,NaN
731377.416666667,NaN,NaN
731377.417361111,NaN,NaN
731377.5,2.04,0.64
731377.500694444,NaN,NaN
731377.583333333,NaN,NaN
731377.584027778,NaN,NaN
731377.625,NaN,NaN
731377.666666667,NaN,NaN
731377.667361111,NaN,NaN
731377.668055556,NaN,NaN
731377.75,NaN,NaN
731377.750694444,NaN,NaN
731377.833333333,NaN,NaN
731377.834027778,NaN,NaN
731377.916666667,NaN,NaN
731377.917361111,NaN,NaN
731378,2.79,0.66
731378.000694444,NaN,NaN
731378.083333333,NaN,NaN
731378.084027778,NaN,NaN
731378.166666667,NaN,NaN
731378.167361111,NaN,NaN
731378.25,NaN,NaN
731378.250694444,NaN,NaN
731378.333333333,NaN,NaN
731378.334027778,NaN,NaN
731378.416666667,NaN,NaN
731378.417361111,NaN,NaN
731378.5,2.02,0.51
731378.500694444,NaN,NaN
731378.583333333,NaN,NaN
731378.584027778,NaN,NaN
731378.666666667,NaN,NaN
731378.667361111,NaN,NaN
731378.75,NaN,NaN
731378.750694444,NaN,NaN
731378.833333333,NaN,NaN
731378.834027778,NaN,NaN
731378.916666667,NaN,NaN
731378.917361111,NaN,NaN
731379,1.33,0.31
731379.000694444,NaN,NaN
731379.083333333,NaN,NaN
731379.084027778,NaN,NaN
731379.166666667,NaN,NaN
731379.167361111,NaN,NaN
731379.5,2.17,0.46
731379.500694444,NaN,NaN
